Temperature,MOF-5 x 10^(6) K^-1,UiO-66 x 10^(6) K^-1,,,,,,,,,
0,0,0,,,,,,,,,
50,-12.53620299,-13.01796323,,,,,,,,,
100,-13.9081917,-16.10950176,,,,,,,,,
150,-12.07513746,-14.72338414,,,,,,,,,
200,-10.03143903,-13.06998928,,,,,,,,,
250,-8.196020649,-11.62235545,,,,,,,,,
300,-6.644688684,-10.39659971,,,,,,,,,
350,-5.365951488,-9.346468738,,,,,,,,,
400,-4.322632519,-8.436398054,,,,,,,,,
450,-3.475942084,-7.636107053,,,,,,,,,
500,-2.788542217,-6.936128563,,,,,,,,,
550,-2.230632929,-6.321742075,,,,,,,,,
600,-1.778032066,-5.781726274,,,,,,,,,
650,-1.409559992,-5.307538024,,,,,,,,,
700,-1.108635973,-4.886252978,,,,,,,,,
750,-0.861223006,-4.51527061,,,,,,,,,
800,-0.657885968,-4.187129112,,,,,,,,,
850,-0.488934433,-3.892522463,,,,,,,,,
900,-0.34803673,-3.62886662,,,,,,,,,
950,-0.231688638,-3.390502376,,,,,,,,,
